position	smiles	name
_P5_neg_A2_	COc1cc(O)c(C(=O)/C=C/c2ccco2)c(OC)c1	zzz
_Q1_neg_D10_	CCOc1ccccc1C1C2CCCCC2(O)CCN1C(=O)/C=C/c1ccc2c(c1)OCO2	zzz
_Q3_neg_F8_	CCN(CC)c1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc3c(c2)OCO3)cc1	zzz
_P5_neg_D2_	CC(=O)N/C(=C/c1ccc2c(c1)OCO2)C(=O)NCc1ccccc1	zzz
_Q4_neg_C7_	O=C(/C=C/c1ccc2c(c1)OCO2)NCc1ccc(Cl)cc1	zzz
_Q2_neg_G7_	O=C(/C=C/c1ccc2c(c1)OCO2)NCCSCc1cccc(Cl)c1	zzz
_Q3_neg_G9_	O=C(/C=C/c1ccc2c(c1)OCO2)N(C(=O)NCc1ccco1)c1ccccc1	zzz
_Q2_neg_D10_	CCOc1cc(/C=C/C(=O)O)cc(OCC)c1OCC	zzz
_Q2_neg_A8_	O=C(/C=C/c1ccc(Cl)c(Cl)c1)c1ccc2ccccc2c1O	zzz
_Q3_neg_A9_	O=C(O)/C=C/c1ccc(Cl)c(Cl)c1	zzz
_Q4_neg_C8_	COc1ccc(C2c3[nH]c4ccccc4c3CCN2C(=O)/C=C/c2ccc(OC)c(OC)c2)cc1	zzz
_Q1_neg_G9_	COc1ccc(C2C3CCCCC3(O)CCN2C(=O)/C=C/c2ccc(OC)c(OC)c2)c(OC)c1	zzz
_Q3_neg_C8_	COc1ccc(/C=C/C(=O)Nc2ccc(OC)c(OC)c2)cc1OC	zzz
_Q1_neg_B7_	COc1ccc(NC(=O)/C=C/c2ccc(OC)c(OC)c2)cc1	zzz
_Q4_neg_C6_	COc1ccc(/C=C/C(=O)Nc2cccc3ccccc23)cc1OC	zzz
_P5_neg_H2_	COc1ccc(/C=C/C(=O)O)cc1S(=O)(=O)NCCCO	zzz
_P5_neg_E1_	O=C(O)/C=C/c1cccc(NS(=O)(=O)Oc2ccc([N+](=O)[O-])cc2)c1	zzz
_Q2_neg_G7_	O=C(O)/C=C/c1ccc(F)c(Br)c1	zzz
_Q1_neg_B7_	O=C(/C=C/c1cccc(Cl)c1)c1ccc(-c2ccccc2)cc1	zzz
_Q3_neg_A8_	O=C(O)/C=C/c1cccc(Cl)c1	zzz
_Q4_neg_F5_	O=C(O)/C=C/c1cccc([N+](=O)[O-])c1	zzz
_Q1_neg_B10_	O=C(O)/C=C/c1ccc2c(c1)NC(=O)CO2	zzz
_Q2_neg_D10_	O=C(/C=C/c1ccc(Br)cc1)c1ccccc1O	zzz
_Q3_neg_E9_	O=C(/C=C/c1ccc(Cl)cc1)N1CCCCC1	zzz
_Q1_neg_F9_	O=C(O)/C=C/c1ccc(Cl)cc1	zzz
_Q4_neg_D12_	COc1cc(OC)c(C(=O)/C=C/c2ccc(O)cc2)c(OC)c1	zzz
_Q2_neg_B12_	O=C(O)/C=C/c1ccc(O)cc1	zzz
_Q3_neg_E10_	COc1ccc(/C=C/C(=O)c2cccs2)cc1	zzz
_Q4_neg_G8_	COc1ccc(/C=C/C(=O)N2CCc3c([nH]c4ccccc34)C2c2ccc(OC)cc2)cc1	zzz
_Q4_neg_B5_	COc1ccc(/C=C/C(=O)Nc2ccccc2)cc1	zzz
_P5_neg_H4_	O=C(O)/C=C/c1ccc([N+](=O)[O-])cc1	zzz
_Q4_neg_D7_	COc1ccc(Br)cc1/C=C/C(=O)O	zzz
_P5_neg_E5_	O=C(O)/C=C/c1ccccc1OCc1ccccc1	zzz
_Q2_neg_A8_	COc1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1CSc1nc2ccccc2[nH]1	zzz
_Q2_neg_E8_	COc1ccc(C(=O)/C=C/c2ccc(OC)c(Cn3nnc4ccccc43)c2)cc1	zzz
_Q2_neg_A10_	CC(C)c1ccc(/C=C/C(=O)O)cc1	zzz
_Q3_neg_D8_	O=C(O)/C=C/c1ccc(S(=O)(=O)N2CCCC2)cc1	zzz
_P5_neg_C5_	COc1ccc(/C=C/C(=O)O)cc1COc1ccccc1	zzz
_Q3_neg_C7_	N#C/C(=C\c1ccc(-c2ccc(Cl)c(Cl)c2)o1)C(=O)N1CCc2ccccc2C1	zzz
_Q3_neg_B7_	Cc1ccc(C)c(OCCn2cc(/C=C(\C#N)C(=O)N3CCc4ccccc4C3)c3ccccc32)c1	zzz
_Q2_neg_H8_	COc1ccc(C(=O)/C=C/c2ccc(OC)c(COc3cccc(C)c3C)c2)cc1	zzz
_Q2_neg_E8_	COc1ccc(/C=C/C(=O)c2ccc(O)cc2)cc1COc1ccccc1C1CCCCC1	zzz
_Q2_neg_H8_	COc1ccc(C(=O)/C=C/c2ccc(OC)c(Cn3nc(C)c(Br)c3C)c2)cc1	zzz
_Q2_neg_H8_	COc1ccc(/C=C/C(=O)c2ccccc2)cc1COc1ccc(Cl)cc1	zzz
_Q2_neg_D8_	CCOc1cc(/C=C/C(=O)c2ccccc2)ccc1OCc1ccccc1Cl	zzz
_Q4_neg_D8_	COc1ccc(/C=C/C(=O)c2ccccc2)cc1COc1ccc([N+](=O)[O-])cc1	zzz
_Q1_neg_B12_	CCOC(=O)c1ccc(NC(=O)/C=C/C(=O)O)cc1	zzz
_Q1_neg_H7_	N#C/C(=C\c1c[nH]c2ccccc12)C(=O)N1CCc2ccccc2C1	zzz
_P5_neg_E2_	O=C(/C=C/c1ccccc1)c1ccc(O)c(O)c1O	zzz
_Q2_neg_H12_	COc1cc(OC)c(C(=O)/C=C/c2ccccc2)c(OC)c1	zzz
_Q1_neg_G7_	O=C(O)/C=C/C(=O)c1ccc(Cl)cc1	zzz
_Q4_neg_F7_	O=C(/C=C/c1ccc([N+](=O)[O-])cc1)NCc1ccc2c(c1)OCO2	zzz
_Q2_neg_G6_	COc1ccc(/C=C/C(=O)Nc2cccc(C(C)=O)c2)cc1OC	zzz
_Q3_neg_A7_	COc1ccc(/C=C/C(=O)Nc2ccc(C(C)=O)cc2)cc1OC	zzz
_Q1_neg_A6_	COc1ccc(NC(=O)/C=C/c2ccccc2)cc1	zzz
_Q2_neg_D8_	COc1cc2c(c(NC(=O)/C=C/c3ccccc3Cl)c1OC)C(=O)OC2	zzz
_Q4_neg_A5_	CC(C)COc1ccc(C(=O)N/C(=C\c2ccccc2)C(=O)NCCNC(=O)/C(=C\c2ccccc2)NC(=O)c2ccc(OCC(C)C)cc2)cc1	zzz
_Q1_neg_F7_	COc1ccc(/C=C/C(=O)Nc2ccc(NC(C)=O)cc2)cc1OC	zzz
_Q4_neg_E5_	COc1ccc(/C=C/C(=O)Nc2ccc(NC(C)=O)cc2)cc1	zzz
_Q1_neg_C8_	CC(=O)Nc1ccc(NC(=O)/C=C/c2ccccc2)cc1	zzz
_Q3_neg_E8_	COc1ccc(NC(=S)NC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1	zzz
_Q3_neg_H6_	O=C(NCCCCCCNC(=O)/C(=C\c1ccc2c(c1)OCO2)NC(=O)c1ccccc1)/C(=C\c1ccc2c(c1)OCO2)NC(=O)c1ccccc1	zzz
_Q4_neg_E5_	O=C(NCCCCCCNC(=O)/C(=C\c1ccccc1)NC(=O)c1ccccc1)/C(=C/c1ccccc1)NC(=O)c1ccccc1	zzz
_Q3_neg_H11_	COc1ccc(/C=C/C=C/C(=O)O)cc1OC	zzz
_Q1_neg_A12_	CCOc1ccccc1C(=O)NCN1CCc2ccccc2C1	zzz
_Q2_neg_E6_	CCOc1ccccc1C(=O)NCCc1c(C)[nH]c2ccccc12	zzz
_P5_neg_B2_	COc1ccc2c(c1)c(CC(=O)OCc1ccccc1F)c(C)n2C(=O)c1ccc(Cl)cc1	zzz
_P5_neg_F1_	Cc1[nH]c2ccccc2c1CCNC(=O)c1ccccc1F	zzz
_Q2_neg_D12_	Cc1ccc2[nH]c(C)c(CCNS(=O)(=O)c3ccc4c(c3)OCCO4)c2c1	zzz
_Q2_neg_E6_	COc1ccc(NC(=O)c2cc3ccccc3oc2=N)cc1	zzz
_Q1_neg_F9_	Cc1ccc(NC(=O)c2cc3ccccc3oc2=N)cc1	zzz
_P5_neg_B5_	COc1c(C)cccc1C(=O)Nc1ccc2oc(=O)ccc2c1	zzz
_P5_neg_B6_	COc1cc(CNC2CCCCC2OC)cc(OC)c1OC	zzz
_Q3_neg_C7_	COc1ccccc1C(=O)NCCc1c(C)[nH]c2ccc(OCc3ccccc3)cc12	zzz
_Q1_neg_A12_	Cc1nc2cccc(C(=O)NCCc3c(C)[nH]c4ccc(OC(F)(F)F)cc34)c2o1	zzz
_Q1_neg_B7_	Cc1ccccc1Nc1nc(Nc2ccccc2C)c2ccccc2n1	zzz
_Q3_neg_F8_	O=C(Nc1cccc(C(F)(F)F)c1)c1cc(=O)[nH]c2ccccc12	zzz
_Q4_neg_F11_	O=C(Nc1cccc(C(F)(F)F)c1)c1cc2ccccc2oc1=O	zzz
_Q2_neg_E10_	O=C(O)C(Cc1c[nH]c2ccccc12)Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]	zzz
_Q2_neg_E7_	Nc1nc2[nH]cc(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)nc-2c(=O)n1	zzz
_Q2_neg_H9_	N[C@@H](CSCc1ccccc1)C(=O)O	zzz
_Q3_neg_F12_	N[C@H](CC1CCCCC1)C(=O)O	zzz
_Q3_neg_B12_	N[C@@H](CSc1ccccc1)C(=O)O	zzz
_Q3_neg_D6_	O=C1C2OCC(O2)[C@@H]2[C@@H]1[C@@H]1c3ccccc3C=CN1[C@H]2C(=O)c1ccc(F)cc1	zzz
_Q3_neg_G7_	NC(CCCC(N)C(=O)O)C(=O)O	zzz
_Q4_neg_H8_	Nc1c(C(=O)N2CCC[C@H]2C(=O)O)sc2nc3c(cc12)CCCC3	zzz
_Q3_neg_F8_	Nc1c(C(=O)N2CCC[C@H]2C(=O)O)sc2nc(-c3ccccc3)cc(-c3ccccc3)c12	zzz
_Q1_neg_G9_	Nc1c(C(=O)N2CCC[C@H]2C(=O)O)sc2nc(-c3cccs3)ccc12	zzz
_Q1_neg_G9_	CC1CCc2nc3sc(C(=O)N4CCC[C@H]4C(=O)O)c(N)c3cc2C1	zzz
_Q4_neg_A8_	Cc1ccc2c(N)c(C(=O)N3CCC[C@H]3C(=O)O)sc2n1	zzz
_Q1_neg_D9_	N#Cc1cc2c(nc1SCC(=O)N1CCC[C@H]1C(=O)O)CCC2	zzz
_Q2_neg_E8_	COc1ccc(-c2cc(-c3ccccc3)nc3sc(C(=O)N4CCC[C@H]4C(=O)O)c(N)c23)cc1	zzz
_Q2_neg_B8_	Nc1c(C(=O)N2CCC[C@H]2C(=O)O)sc2nc(-c3ccc(F)cc3)cc(-c3ccccc3)c12	zzz
_Q4_neg_E8_	Cc1cc(C(F)(F)F)c2c(N)c(C(=O)N3CCC[C@H]3C(=O)O)sc2n1	zzz
_P5_neg_G1_	O=C(O)CC[C@H](NC(=O)c1ccccc1)C(=O)O	zzz
_Q1_neg_C7_	O=C(C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O)NC(c1ccccc1)(c1ccccc1)c1ccccc1	zzz
_Q4_neg_D12_	CC(C)(C)OC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O	zzz
_Q2_neg_B7_	CC(C)(C)OC(=O)N[C@@H](Cc1cn(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])cn1)C(=O)O	zzz
_Q4_neg_G7_	CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(C)(C)C)cc1)C(=O)O	zzz
_Q3_neg_C7_	CC(C)(C)OC(=O)N[C@@H](CC(=O)OCc1ccccc1)C(=O)O	zzz
_Q3_neg_D9_	N[C@@H](Cc1ccc(Cl)cc1)C(=O)O	zzz
_Q3_neg_D12_	COc1ccc(C[C@H](N)C(=O)O)cc1	zzz
_Q3_neg_E12_	N[C@@H](CC(=O)OCc1ccccc1)C(=O)O	zzz
_Q4_neg_E11_	N[C@@H](CCC(=O)Nc1cccc2ccccc12)C(=O)O	zzz
_Q2_neg_B10_	N[C@@H](Cc1ccccc1)C(=O)Nc1ccc2ccccc2c1	zzz
_Q2_neg_E9_	O=C(O)[C@@H](O)c1ccccc1	zzz
_Q4_neg_A12_	O=C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1	zzz
_Q3_neg_F10_	O=C(CNC(=O)c1ccccc1)N[C@@H](Cc1ccccc1)C(=O)O	zzz
_P5_neg_C2_	N=C(N)NCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O	zzz
_P5_neg_F3_	CC(=O)Oc1cc(OC(C)=O)c2c(c1)O[C@H](c1ccccc1)CC2=O	zzz
_Q4_neg_B10_	CC(=O)Oc1cc(OC(C)=O)c2c(c1CC=C(C)C)O[C@H](c1ccccc1)CC2=O	zzz
_P5_neg_C2_	O=C(O)[C@@H]1Cc2ccccc2N1	zzz
_Q4_neg_D9_	CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	zzz
_Q2_neg_H12_	CO[C@@H]1O[C@H](C(=O)O)[C@H]2OC(C)(C)O[C@@H]12	zzz
_Q3_neg_D8_	CC1CC[C@@H](C(C)(C)c2ccccc2)C(O)C1	zzz
_P5_neg_F1_	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@@H]1CN1[C@H](C)c1ccccc1	zzz
_Q1_neg_H6_	Cc1ccc(S(=O)(=O)OC2C(C3COC(C)(C)O3)OC3OC(C)(C)OC32)cc1	zzz
_Q3_neg_A6_	O=C1C2OCC(O2)[C@H]2[C@@H]1[C@H]1C=Cc3ccccc3N1[C@@H]2C(=O)c1ccccc1	zzz
_Q4_neg_F6_	COc1ccc(C(=O)[C@@H]2[C@H]3C4COC(O4)C(=O)[C@@H]3[C@H]3C=Cc4ccccc4N32)cc1	zzz
_Q3_neg_G12_	C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O	zzz
_Q4_neg_B12_	CC(C)S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	zzz
_Q2_neg_A9_	O=C(OC[C@@H]1O[C@@](O)(COC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@H]1OC(=O)c1cccnc1)c1cccnc1	zzz
_Q4_neg_B6_	CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.CCN(CC)CCOCc1ccc(N)cc1	zzz
_P5_neg_D3_	COc1cc2c(cc1/C=C(\C#N)c1ccc(Cl)cc1)OCO2	zzz
_Q4_neg_G7_	CC(=O)N/C(=C\c1ccccc1)C(=O)Nc1cc(C)ccc1C	zzz
_P5_neg_F4_	Cc1[nH]c2ccccc2c1CCNC(=O)/C(=C/c1ccccc1)NC(=O)c1ccccc1Br	zzz
_P5_neg_G4_	Cc1[nH]c2ccccc2c1CCNC(=O)/C(=C/c1ccccc1)NC(=O)c1cccc(Br)c1	zzz
